specie_name,specie_url,generation,specie_id
bulbasaur,https://pokeapi.co/api/v2/pokemon-species/1/,generation-i,1
charmander,https://pokeapi.co/api/v2/pokemon-species/4/,generation-i,4
squirtle,https://pokeapi.co/api/v2/pokemon-species/7/,generation-i,7
caterpie,https://pokeapi.co/api/v2/pokemon-species/10/,generation-i,10
weedle,https://pokeapi.co/api/v2/pokemon-species/13/,generation-i,13
pidgey,https://pokeapi.co/api/v2/pokemon-species/16/,generation-i,16
rattata,https://pokeapi.co/api/v2/pokemon-species/19/,generation-i,19
spearow,https://pokeapi.co/api/v2/pokemon-species/21/,generation-i,21
ekans,https://pokeapi.co/api/v2/pokemon-species/23/,generation-i,23
sandshrew,https://pokeapi.co/api/v2/pokemon-species/27/,generation-i,27
nidoran-f,https://pokeapi.co/api/v2/pokemon-species/29/,generation-i,29
nidoran-m,https://pokeapi.co/api/v2/pokemon-species/32/,generation-i,32
vulpix,https://pokeapi.co/api/v2/pokemon-species/37/,generation-i,37
zubat,https://pokeapi.co/api/v2/pokemon-species/41/,generation-i,41
oddish,https://pokeapi.co/api/v2/pokemon-species/43/,generation-i,43
paras,https://pokeapi.co/api/v2/pokemon-species/46/,generation-i,46
venonat,https://pokeapi.co/api/v2/pokemon-species/48/,generation-i,48
diglett,https://pokeapi.co/api/v2/pokemon-species/50/,generation-i,50
meowth,https://pokeapi.co/api/v2/pokemon-species/52/,generation-i,52
psyduck,https://pokeapi.co/api/v2/pokemon-species/54/,generation-i,54
mankey,https://pokeapi.co/api/v2/pokemon-species/56/,generation-i,56
growlithe,https://pokeapi.co/api/v2/pokemon-species/58/,generation-i,58
poliwag,https://pokeapi.co/api/v2/pokemon-species/60/,generation-i,60
abra,https://pokeapi.co/api/v2/pokemon-species/63/,generation-i,63
machop,https://pokeapi.co/api/v2/pokemon-species/66/,generation-i,66
bellsprout,https://pokeapi.co/api/v2/pokemon-species/69/,generation-i,69
tentacool,https://pokeapi.co/api/v2/pokemon-species/72/,generation-i,72
geodude,https://pokeapi.co/api/v2/pokemon-species/74/,generation-i,74
venusaur,https://pokeapi.co/api/v2/pokemon-species/3/,generation-i,3
charmeleon,https://pokeapi.co/api/v2/pokemon-species/5/,generation-i,5
charizard,https://pokeapi.co/api/v2/pokemon-species/6/,generation-i,6
wartortle,https://pokeapi.co/api/v2/pokemon-species/8/,generation-i,8
blastoise,https://pokeapi.co/api/v2/pokemon-species/9/,generation-i,9
metapod,https://pokeapi.co/api/v2/pokemon-species/11/,generation-i,11
butterfree,https://pokeapi.co/api/v2/pokemon-species/12/,generation-i,12
kakuna,https://pokeapi.co/api/v2/pokemon-species/14/,generation-i,14
beedrill,https://pokeapi.co/api/v2/pokemon-species/15/,generation-i,15
pidgeotto,https://pokeapi.co/api/v2/pokemon-species/17/,generation-i,17
pidgeot,https://pokeapi.co/api/v2/pokemon-species/18/,generation-i,18
raticate,https://pokeapi.co/api/v2/pokemon-species/20/,generation-i,20
fearow,https://pokeapi.co/api/v2/pokemon-species/22/,generation-i,22
arbok,https://pokeapi.co/api/v2/pokemon-species/24/,generation-i,24
pikachu,https://pokeapi.co/api/v2/pokemon-species/25/,generation-i,25
raichu,https://pokeapi.co/api/v2/pokemon-species/26/,generation-i,26
sandslash,https://pokeapi.co/api/v2/pokemon-species/28/,generation-i,28
nidorina,https://pokeapi.co/api/v2/pokemon-species/30/,generation-i,30
nidoqueen,https://pokeapi.co/api/v2/pokemon-species/31/,generation-i,31
nidorino,https://pokeapi.co/api/v2/pokemon-species/33/,generation-i,33
nidoking,https://pokeapi.co/api/v2/pokemon-species/34/,generation-i,34
clefairy,https://pokeapi.co/api/v2/pokemon-species/35/,generation-i,35
clefable,https://pokeapi.co/api/v2/pokemon-species/36/,generation-i,36
ninetales,https://pokeapi.co/api/v2/pokemon-species/38/,generation-i,38
jigglypuff,https://pokeapi.co/api/v2/pokemon-species/39/,generation-i,39
wigglytuff,https://pokeapi.co/api/v2/pokemon-species/40/,generation-i,40
golbat,https://pokeapi.co/api/v2/pokemon-species/42/,generation-i,42
gloom,https://pokeapi.co/api/v2/pokemon-species/44/,generation-i,44
vileplume,https://pokeapi.co/api/v2/pokemon-species/45/,generation-i,45
parasect,https://pokeapi.co/api/v2/pokemon-species/47/,generation-i,47
venomoth,https://pokeapi.co/api/v2/pokemon-species/49/,generation-i,49
dugtrio,https://pokeapi.co/api/v2/pokemon-species/51/,generation-i,51
persian,https://pokeapi.co/api/v2/pokemon-species/53/,generation-i,53
golduck,https://pokeapi.co/api/v2/pokemon-species/55/,generation-i,55
primeape,https://pokeapi.co/api/v2/pokemon-species/57/,generation-i,57
arcanine,https://pokeapi.co/api/v2/pokemon-species/59/,generation-i,59
poliwhirl,https://pokeapi.co/api/v2/pokemon-species/61/,generation-i,61
poliwrath,https://pokeapi.co/api/v2/pokemon-species/62/,generation-i,62
kadabra,https://pokeapi.co/api/v2/pokemon-species/64/,generation-i,64
alakazam,https://pokeapi.co/api/v2/pokemon-species/65/,generation-i,65
machoke,https://pokeapi.co/api/v2/pokemon-species/67/,generation-i,67
machamp,https://pokeapi.co/api/v2/pokemon-species/68/,generation-i,68
weepinbell,https://pokeapi.co/api/v2/pokemon-species/70/,generation-i,70
victreebel,https://pokeapi.co/api/v2/pokemon-species/71/,generation-i,71
tentacruel,https://pokeapi.co/api/v2/pokemon-species/73/,generation-i,73
graveler,https://pokeapi.co/api/v2/pokemon-species/75/,generation-i,75
ponyta,https://pokeapi.co/api/v2/pokemon-species/77/,generation-i,77
