pokemon,specie_id
bulbasaur,1
charmander,4
squirtle,7
caterpie,10
weedle,13
pidgey,16
rattata,19
rattata-alola,19
spearow,21
ekans,23
sandshrew,27
sandshrew-alola,27
nidoran-f,29
nidoran-m,32
vulpix,37
vulpix-alola,37
zubat,41
oddish,43
paras,46
venonat,48
diglett,50
diglett-alola,50
meowth,52
meowth-alola,52
meowth-galar,52
meowth-gmax,52
psyduck,54
mankey,56
growlithe,58
growlithe-hisui,58
poliwag,60
abra,63
machop,66
bellsprout,69
tentacool,72
geodude,74
geodude-alola,74
venusaur,3
venusaur-mega,3
venusaur-gmax,3
charmeleon,5
charizard,6
charizard-mega-x,6
charizard-mega-y,6
charizard-gmax,6
wartortle,8
blastoise,9
blastoise-mega,9
blastoise-gmax,9
metapod,11
butterfree,12
butterfree-gmax,12
kakuna,14
beedrill,15
beedrill-mega,15
pidgeotto,17
pidgeot,18
pidgeot-mega,18
raticate,20
raticate-alola,20
raticate-totem-alola,20
fearow,22
arbok,24
pikachu,25
pikachu-rock-star,25
pikachu-belle,25
pikachu-pop-star,25
pikachu-phd,25
pikachu-libre,25
pikachu-cosplay,25
pikachu-original-cap,25
pikachu-hoenn-cap,25
pikachu-sinnoh-cap,25
pikachu-unova-cap,25
pikachu-kalos-cap,25
pikachu-alola-cap,25
pikachu-partner-cap,25
pikachu-starter,25
pikachu-world-cap,25
pikachu-gmax,25
raichu,26
raichu-alola,26
sandslash,28
sandslash-alola,28
nidorina,30
nidoqueen,31
nidorino,33
nidoking,34
clefairy,35
clefable,36
ninetales,38
ninetales-alola,38
jigglypuff,39
wigglytuff,40
golbat,42
gloom,44
vileplume,45
parasect,47
venomoth,49
dugtrio,51
dugtrio-alola,51
persian,53
persian-alola,53
golduck,55
primeape,57
arcanine,59
arcanine-hisui,59
poliwhirl,61
poliwrath,62
kadabra,64
alakazam,65
alakazam-mega,65
machoke,67
machamp,68
machamp-gmax,68
weepinbell,70
victreebel,71
tentacruel,73
graveler,75
graveler-alola,75
ponyta,77
ponyta-galar,77
slowpoke,79
slowpoke-galar,79
magnemite,81
farfetchd,83
farfetchd-galar,83
doduo,84
seel,86
grimer,88
grimer-alola,88
shellder,90
gastly,92
onix,95
drowzee,96
krabby,98
voltorb,100
voltorb-hisui,100
exeggcute,102
cubone,104
lickitung,108
koffing,109
rhyhorn,111
tangela,114
kangaskhan,115
kangaskhan-mega,115
horsea,116
goldeen,118
staryu,120
scyther,123
pinsir,127
pinsir-mega,127
tauros,128
tauros-paldea-combat-breed,128
tauros-paldea-blaze-breed,128
tauros-paldea-aqua-breed,128
magikarp,129
lapras,131
lapras-gmax,131
ditto,132
eevee,133
eevee-starter,133
eevee-gmax,133
porygon,137
omanyte,138
kabuto,140
aerodactyl,142
aerodactyl-mega,142
articuno,144
articuno-galar,144
zapdos,145
zapdos-galar,145
moltres,146
moltres-galar,146
dratini,147
mewtwo,150
mewtwo-mega-x,150
mewtwo-mega-y,150
rapidash,78
rapidash-galar,78
slowbro,80
slowbro-mega,80
slowbro-galar,80
magneton,82
dodrio,85
dewgong,87
muk,89
muk-alola,89
cloyster,91
haunter,93
gengar,94
gengar-mega,94
gengar-gmax,94
hypno,97
kingler,99
kingler-gmax,99
electrode,101
electrode-hisui,101
exeggutor,103
exeggutor-alola,103
marowak,105
marowak-alola,105
marowak-totem,105
hitmonlee,106
hitmonchan,107
weezing,110
weezing-galar,110
rhydon,112
chansey,113
seadra,117
