power,stat,pokemon
45,hp,bulbasaur
49,attack,bulbasaur
49,defense,bulbasaur
65,special-attack,bulbasaur
65,special-defense,bulbasaur
45,speed,bulbasaur
60,hp,ivysaur
62,attack,ivysaur
63,defense,ivysaur
80,special-attack,ivysaur
80,special-defense,ivysaur
60,speed,ivysaur
80,hp,venusaur
82,attack,venusaur
83,defense,venusaur
100,special-attack,venusaur
100,special-defense,venusaur
80,speed,venusaur
39,hp,charmander
52,attack,charmander
43,defense,charmander
60,special-attack,charmander
50,special-defense,charmander
65,speed,charmander
58,hp,charmeleon
64,attack,charmeleon
58,defense,charmeleon
80,special-attack,charmeleon
65,special-defense,charmeleon
80,speed,charmeleon
78,hp,charizard
84,attack,charizard
78,defense,charizard
109,special-attack,charizard
85,special-defense,charizard
100,speed,charizard
44,hp,squirtle
48,attack,squirtle
65,defense,squirtle
50,special-attack,squirtle
64,special-defense,squirtle
43,speed,squirtle
59,hp,wartortle
63,attack,wartortle
80,defense,wartortle
65,special-attack,wartortle
80,special-defense,wartortle
58,speed,wartortle
79,hp,blastoise
83,attack,blastoise
100,defense,blastoise
85,special-attack,blastoise
105,special-defense,blastoise
78,speed,blastoise
45,hp,caterpie
30,attack,caterpie
35,defense,caterpie
20,special-attack,caterpie
20,special-defense,caterpie
45,speed,caterpie
50,hp,metapod
20,attack,metapod
55,defense,metapod
25,special-attack,metapod
25,special-defense,metapod
30,speed,metapod
60,hp,butterfree
45,attack,butterfree
50,defense,butterfree
90,special-attack,butterfree
80,special-defense,butterfree
70,speed,butterfree
40,hp,weedle
35,attack,weedle
30,defense,weedle
20,special-attack,weedle
20,special-defense,weedle
50,speed,weedle
45,hp,kakuna
25,attack,kakuna
50,defense,kakuna
25,special-attack,kakuna
25,special-defense,kakuna
35,speed,kakuna
65,hp,beedrill
90,attack,beedrill
40,defense,beedrill
45,special-attack,beedrill
80,special-defense,beedrill
75,speed,beedrill
40,hp,pidgey
45,attack,pidgey
40,defense,pidgey
35,special-attack,pidgey
35,special-defense,pidgey
56,speed,pidgey
63,hp,pidgeotto
60,attack,pidgeotto
55,defense,pidgeotto
50,special-attack,pidgeotto
50,special-defense,pidgeotto
71,speed,pidgeotto
83,hp,pidgeot
80,attack,pidgeot
75,defense,pidgeot
70,special-attack,pidgeot
70,special-defense,pidgeot
101,speed,pidgeot
30,hp,rattata
56,attack,rattata
35,defense,rattata
25,special-attack,rattata
35,special-defense,rattata
72,speed,rattata
55,hp,raticate
81,attack,raticate
60,defense,raticate
50,special-attack,raticate
70,special-defense,raticate
97,speed,raticate
40,hp,spearow
60,attack,spearow
30,defense,spearow
31,special-attack,spearow
31,special-defense,spearow
70,speed,spearow
65,hp,fearow
90,attack,fearow
65,defense,fearow
61,special-attack,fearow
61,special-defense,fearow
100,speed,fearow
35,hp,ekans
60,attack,ekans
44,defense,ekans
40,special-attack,ekans
54,special-defense,ekans
55,speed,ekans
60,hp,arbok
95,attack,arbok
69,defense,arbok
65,special-attack,arbok
79,special-defense,arbok
80,speed,arbok
35,hp,pikachu
55,attack,pikachu
40,defense,pikachu
50,special-attack,pikachu
50,special-defense,pikachu
90,speed,pikachu
60,hp,raichu
90,attack,raichu
55,defense,raichu
90,special-attack,raichu
80,special-defense,raichu
110,speed,raichu
50,hp,sandshrew
75,attack,sandshrew
85,defense,sandshrew
20,special-attack,sandshrew
30,special-defense,sandshrew
40,speed,sandshrew
75,hp,sandslash
100,attack,sandslash
110,defense,sandslash
45,special-attack,sandslash
55,special-defense,sandslash
65,speed,sandslash
55,hp,nidoran-f
47,attack,nidoran-f
52,defense,nidoran-f
40,special-attack,nidoran-f
40,special-defense,nidoran-f
41,speed,nidoran-f
70,hp,nidorina
62,attack,nidorina
67,defense,nidorina
55,special-attack,nidorina
55,special-defense,nidorina
56,speed,nidorina
90,hp,nidoqueen
92,attack,nidoqueen
87,defense,nidoqueen
75,special-attack,nidoqueen
85,special-defense,nidoqueen
76,speed,nidoqueen
46,hp,nidoran-m
57,attack,nidoran-m
40,defense,nidoran-m
40,special-attack,nidoran-m
40,special-defense,nidoran-m
50,speed,nidoran-m
61,hp,nidorino
72,attack,nidorino
57,defense,nidorino
55,special-attack,nidorino
55,special-defense,nidorino
65,speed,nidorino
81,hp,nidoking
102,attack,nidoking
77,defense,nidoking
85,special-attack,nidoking
75,special-defense,nidoking
85,speed,nidoking
70,hp,clefairy
45,attack,clefairy
48,defense,clefairy
60,special-attack,clefairy
65,special-defense,clefairy
35,speed,clefairy
95,hp,clefable
70,attack,clefable
73,defense,clefable
95,special-attack,clefable
90,special-defense,clefable
60,speed,clefable
38,hp,vulpix
41,attack,vulpix
40,defense,vulpix
50,special-attack,vulpix
65,special-defense,vulpix
65,speed,vulpix
73,hp,ninetales
76,attack,ninetales
75,defense,ninetales
81,special-attack,ninetales
100,special-defense,ninetales
100,speed,ninetales
115,hp,jigglypuff
45,attack,jigglypuff
20,defense,jigglypuff
45,special-attack,jigglypuff
25,special-defense,jigglypuff
20,speed,jigglypuff
140,hp,wigglytuff
70,attack,wigglytuff
45,defense,wigglytuff
85,special-attack,wigglytuff
50,special-defense,wigglytuff
45,speed,wigglytuff
40,hp,zubat
45,attack,zubat
35,defense,zubat
30,special-attack,zubat
40,special-defense,zubat
55,speed,zubat
75,hp,golbat
80,attack,golbat
70,defense,golbat
65,special-attack,golbat
75,special-defense,golbat
90,speed,golbat
45,hp,oddish
50,attack,oddish
55,defense,oddish
75,special-attack,oddish
65,special-defense,oddish
30,speed,oddish
60,hp,gloom
65,attack,gloom
70,defense,gloom
85,special-attack,gloom
75,special-defense,gloom
40,speed,gloom
75,hp,vileplume
80,attack,vileplume
85,defense,vileplume
110,special-attack,vileplume
90,special-defense,vileplume
50,speed,vileplume
35,hp,paras
70,attack,paras
55,defense,paras
45,special-attack,paras
55,special-defense,paras
25,speed,paras
60,hp,parasect
95,attack,parasect
80,defense,parasect
60,special-attack,parasect
80,special-defense,parasect
30,speed,parasect
60,hp,venonat
55,attack,venonat
50,defense,venonat
40,special-attack,venonat
55,special-defense,venonat
45,speed,venonat
70,hp,venomoth
65,attack,venomoth
60,defense,venomoth
90,special-attack,venomoth
75,special-defense,venomoth
90,speed,venomoth
10,hp,diglett
55,attack,diglett
25,defense,diglett
35,special-attack,diglett
45,special-defense,diglett
95,speed,diglett
