pokemon,type
pidgey,normal
pidgeotto,normal
pidgeot,normal
rattata,normal
raticate,normal
spearow,normal
fearow,normal
jigglypuff,normal
wigglytuff,normal
meowth,normal
persian,normal
farfetchd,normal
doduo,normal
dodrio,normal
lickitung,normal
chansey,normal
kangaskhan,normal
tauros,normal
ditto,normal
eevee,normal
porygon,normal
snorlax,normal
sentret,normal
furret,normal
hoothoot,normal
noctowl,normal
igglybuff,normal
aipom,normal
girafarig,normal
dunsparce,normal
teddiursa,normal
ursaring,normal
porygon2,normal
stantler,normal
smeargle,normal
miltank,normal
blissey,normal
zigzagoon,normal
linoone,normal
taillow,normal
swellow,normal
slakoth,normal
vigoroth,normal
slaking,normal
whismur,normal
loudred,normal
exploud,normal
azurill,normal
skitty,normal
delcatty,normal
spinda,normal
swablu,normal
zangoose,normal
castform,normal
kecleon,normal
starly,normal
staravia,normal
staraptor,normal
bidoof,normal
bibarel,normal
ambipom,normal
buneary,normal
lopunny,normal
glameow,normal
purugly,normal
happiny,normal
chatot,normal
munchlax,normal
lickilicky,normal
porygon-z,normal
regigigas,normal
arceus,normal
patrat,normal
watchog,normal
lillipup,normal
herdier,normal
stoutland,normal
pidove,normal
tranquill,normal
unfezant,normal
audino,normal
minccino,normal
cinccino,normal
deerling,normal
sawsbuck,normal
bouffalant,normal
rufflet,normal
braviary,normal
meloetta-aria,normal
bunnelby,normal
diggersby,normal
fletchling,normal
litleo,normal
pyroar,normal
furfrou,normal
helioptile,normal
heliolisk,normal
pikipek,normal
trumbeak,normal
toucannon,normal
yungoos,normal
gumshoos,normal
stufful,normal
bewear,normal
oranguru,normal
type-null,normal
silvally,normal
komala,normal
drampa,normal
skwovet,normal
greedent,normal
wooloo,normal
dubwool,normal
obstagoon,normal
indeedee-male,normal
wyrdeer,normal
ursaluna,normal
lechonk,normal
oinkologne-male,normal
tandemaus,normal
maushold-family-of-four,normal
smoliv,normal
dolliv,normal
arboliva,normal
squawkabilly-green-plumage,normal
shroodle,normal
grafaiai,normal
cyclizar,normal
farigiraf,normal
dudunsparce-two-segment,normal
terapagos,normal
meloetta-pirouette,normal
kangaskhan-mega,normal
audino-mega,normal
pidgeot-mega,normal
lopunny-mega,normal
rattata-alola,normal
raticate-alola,normal
raticate-totem-alola,normal
gumshoos-totem,normal
eevee-starter,normal
zigzagoon-galar,normal
linoone-galar,normal
indeedee-female,normal
meowth-gmax,normal
eevee-gmax,normal
